Year,Community_Name,City,LACity,SPA,SD,DemogSurvCt,YouthSurvCt,SheltHmisCt,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
2018,Chatsworth,Los Angeles,1,2,5,10,0,0,12,0,0,6,2,63,2,2,10,3,115,3,3,0,0,3,0,0,1,0,9,0,0,9,3,106,3,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,147,0,15,0,15,162
2018,Chinatown,Los Angeles,1,4,1,0,11,11,152,5,10,8,8,15,49,58,13,13,27,75,97,0,0,1,1,1,1,1,2,3,2,11,12,25,72,95,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,10,0,10,397
2018,Citrus,Citrus,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Claremont,Claremont,0,3,1,0,2,0,15,0,0,0,0,2,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,9,29
2018,Commerce,Commerce,0,7,1,29,0,1,16,1,7,5,10,68,3,2,8,16,125,5,3,0,0,3,0,0,1,1,10,0,0,7,16,115,4,3,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,38,0,38,218
2018,Compton,Compton,0,6,2,4,6,0,69,0,0,41,26,66,4,28,66,42,121,6,47,3,1,3,0,0,8,2,9,0,1,59,41,111,6,46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,42,0,0,42,394
2018,Covina,Unincorporated Covina,0,3,5,12,0,2,30,0,0,15,6,9,0,6,24,10,16,0,10,1,0,0,0,0,3,0,1,0,0,21,9,15,0,10,0,0,0,0,0,0,0,0,1,5,0,1,2,0,0,0,0,0,0,0,0,91,0,7,0,7,98
2018,Cudahy,Cudahy,0,7,1,0,5,0,13,0,0,3,2,0,0,4,5,3,0,0,7,0,0,0,0,0,1,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
2018,Culver City,Culver City,0,5,2,11,1,87,43,0,0,16,6,15,1,6,26,10,27,2,10,1,0,1,0,0,3,0,2,0,0,23,9,25,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,118
2018,Cypress Park,Los Angeles,1,4,1,0,0,0,8,0,0,3,2,14,2,5,5,3,26,3,8,0,0,1,0,0,1,0,2,0,0,4,3,24,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53
